question_id,option_id,option_label,is_missing
2024-037_q1,1,Complete confidence,false
2024-037_q1,2,Some confidence,false
2024-037_q1,3,Little confidence,false
2024-037_q1,4,No confidence,false
2024-037_q1,5,Not sure,false
2024-037_q10,1,"Yes, all are welcome (Jewish, Muslim, and Christian).",false
2024-037_q10,2,"Yes, but only Jewish refugees.",false
2024-037_q10,3,"Yes, but only Muslim refugees.",false
2024-037_q10,4,"Yes, but only Christian refugees.",false
2024-037_q10,5,"No, the U.S. should not be held responsible for displaced people from the region.",false
2024-037_q11,1,Feedback/Input from Constituents,false
2024-037_q11,2,Feedback/Input from Lobbyist and Interest Groups,false
2024-037_q11,3,Feedback/Input from Media,false
2024-037_q11,4,Feedback/Input from a Political Party,false
2024-037_q11,5,Their own opinion,false
2024-037_q11,6,Feedback/Input from Others,false
2024-037_q11,7,Other,false
2024-037_q11,8,None of the above,false
2024-037_q12,1,"Yes, Pre OIF (Operation Iraqi Freedom) and OEF (Operation Enduring Freedom)",false
2024-037_q12,2,"Yes, OIF (Operation Iraqi Freedom)",false
2024-037_q12,3,"Yes, OEF (Operation Enduring Freedom)",false
2024-037_q12,4,"Yes, Post OIF (Operation Iraqi Freedom) and OEF (Operation Enduring Freedom)",false
2024-037_q12,5,"No, I have not served in combat",false
2024-037_q13,1,Support,false
2024-037_q13,2,Oppose,false
2024-037_q13,3,I don't know,false
2024-037_q14,1,Support a minor political party,false
2024-037_q14,2,"Support no political party (a ""true"" independent)",false
2024-037_q14,3,Consider yourself a Republican or Democrat but won’t admit it,false
2024-037_q14,4,Other,false
2024-037_q14,5,I am not an Independent,false
2024-037_q15,1,1 - Very Weak,false
2024-037_q15,2,2 - Weak,false
2024-037_q15,3,3 - Neither Powerful nor Weak,false
2024-037_q15,4,4 - Powerful,false
2024-037_q15,5,5 - Very Powerful,false
2024-037_q17,1,More well off than your neighbors,false
2024-037_q17,2,About equally well off as your neighbors,false
2024-037_q17,3,Less well off than your neighbors,false
2024-037_q17,4,Don’t know,false
2024-037_q18,1,Very concerned,false
2024-037_q18,2,Somewhat concerned,false
2024-037_q18,3,Not very concerned,false
2024-037_q18,4,Not at all concerned,false
2024-037_q19,1,Medicare,false
2024-037_q19,2,Social Security,false
2024-037_q19,3,Both programs will exhaust their funds within the same year,false
2024-037_q2,1,Strongly favor policies that prohibit gender-affirming care,false
2024-037_q2,2,Favor policies that prohibit gender-affirming care,false
2024-037_q2,3,Oppose policies that prohibit gender-affirming care,false
2024-037_q2,4,Strongly oppose policies that prohibit gender-affirming care,false
2024-037_q21,1,Democrats have produced the majority of political misinformation,false
2024-037_q21,2,Republicans have produced the majority of political misinformation,false
2024-037_q21,3,Democrats and Republicans have produced roughly an equal amount of political misinformation,false
2024-037_q21,4,Most political misinformation has been produced by non-partisan entities (neither Democrat nor Republican),false
2024-037_q23,1,Yes - I’m in favor of the removal,false
2024-037_q23,2,No - race and gender should be considered in an effort to diversify institutions,false
2024-037_q23,3,I’m uncertain of my opinion on this policy issue,false
2024-037_q24,1,Strongly agree,false
2024-037_q24,2,Agree,false
2024-037_q24,3,Neither agree nor disagree,false
2024-037_q24,4,Disagree,false
2024-037_q24,5,Strongly disagree,false
2024-037_q26,1,Social Media,false
2024-037_q26,2,Broadcast Television,false
2024-037_q26,3,Newspapers and/or Magazines,false
2024-037_q26,4,Radio,false
2024-037_q26,5,Cable Television,false
2024-037_q26,6,Podcasts,false
2024-037_q26,7,Other,false
2024-037_q26,8,None of the above,false
2024-037_q27,1,Not at all worried,false
2024-037_q27,2,A little worried,false
2024-037_q27,3,Somewhat worried,false
2024-037_q27,4,Very worried,false
2024-037_q27,5,Extremely worried,false
2024-037_q27,6,I am not currently employed,false
2024-037_q28,1,Synthetic rubber produced in factories,false
2024-037_q28,2,Natural rubber harvested from trees,false
2024-037_q28,3,A combination of natural and synthetic rubber,false
2024-037_q28,4,I am not sure,false
2024-037_q29_q30_1,1,1 - Strongly Disagree,false
2024-037_q29_q30_1,2,2 - Disagree,false
2024-037_q29_q30_1,3,3 - Neither Agree nor Disagree,false
2024-037_q29_q30_1,4,4 - Agree,false
2024-037_q29_q30_1,5,5 - Strongly Agree,false
2024-037_q29_q30_2,1,1 - Strongly Disagree,false
2024-037_q29_q30_2,2,2 - Disagree,false
2024-037_q29_q30_2,3,3 - Neither Agree nor Disagree,false
2024-037_q29_q30_2,4,4 - Agree,false
2024-037_q29_q30_2,5,5 - Strongly Agree,false
2024-037_q3,1,Strongly agree,false
2024-037_q3,2,Somewhat agree,false
2024-037_q3,3,Neither agree nor disagree,false
2024-037_q3,4,Somewhat disagree,false
2024-037_q3,5,Strongly disagree,false
2024-037_q31_q34_q81_q22_1,1,1 - Very Unlikely,false
2024-037_q31_q34_q81_q22_1,2,2 - Unlikely,false
2024-037_q31_q34_q81_q22_1,3,3 - Neither Likely nor Unlikely,false
2024-037_q31_q34_q81_q22_1,4,4 - Likely,false
2024-037_q31_q34_q81_q22_1,5,5 - Very Likely,false
2024-037_q31_q34_q81_q22_2,1,1 - Very Unlikely,false
2024-037_q31_q34_q81_q22_2,2,2 - Unlikely,false
2024-037_q31_q34_q81_q22_2,3,3 - Neither Likely nor Unlikely,false
2024-037_q31_q34_q81_q22_2,4,4 - Likely,false
2024-037_q31_q34_q81_q22_2,5,5 - Very Likely,false
2024-037_q31_q34_q81_q22_3,1,1 - Very Unlikely,false
2024-037_q31_q34_q81_q22_3,2,2 - Unlikely,false
2024-037_q31_q34_q81_q22_3,3,3 - Neither Likely nor Unlikely,false
2024-037_q31_q34_q81_q22_3,4,4 - Likely,false
2024-037_q31_q34_q81_q22_3,5,5 - Very Likely,false
2024-037_q31_q34_q81_q22_4,1,1 - Very Unlikely,false
2024-037_q31_q34_q81_q22_4,2,2 - Unlikely,false
