question_id,title,topic_primary,url_slug,source_url,base_unweighted_n,base_weighted_n,moe_question_level,is_multiselect,options_count
2024-037_q1,How much confidence do you have in your courts or judges?,"Verasight MPSA Omnibus Survey #2024-037, module 1",how-much-confidence-do-you-have-in-your-courts-or-judges,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,5
2024-037_q10,Should the U.S. accept refugees from Israel and Palestine?,"Verasight MPSA Omnibus Survey #2024-037, module 1",should-the-u-s-accept-refugees-from-israel-and-palestine,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,5
2024-037_q11,How do you think your elected officials decide the issues they will work on?,"Verasight MPSA Omnibus Survey #2024-037, module 1",how-do-you-think-your-elected-officials-decide-the-issues-they-will-work-on,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,true,8
2024-037_q12,Have you served in combat?,"Verasight MPSA Omnibus Survey #2024-037, module 1",have-you-served-in-combat,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,true,5
2024-037_q13,"Do you support or oppose this statement? In the event of a rigged 2024 election, patriotic Americans should unite in collective action to defend their candidate.","Verasight MPSA Omnibus Survey #2024-037, module 1",do-you-support-or-oppose-this-statement-in-the-event-of-a-rigged-2024-election-patriotic-americans-should-unite-in-collective-action-to-defend-their-candidate,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,3
2024-037_q14,"If you are an ""Independent"", do you:","Verasight MPSA Omnibus Survey #2024-037, module 1",if-you-are-an-independent-do-you,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,5
2024-037_q15,"Using a scale from 1 to 5 where 1 represents “very weak” and 5 represents “very powerful,” please rate your perception of the political power of domestic terrorists, that is, how much politicians and lawmakers act in accordance with what the groups want.","Verasight MPSA Omnibus Survey #2024-037, module 1",using-a-scale-from-1-to-5-where-1-represents-very-weak-and-5-represents-very-powerful-please-rate-your-perception-of-the-political-power-of-domestic-terrorists-that-is-how-much,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,5
2024-037_q17,"Financially speaking, do you feel you are:","Verasight MPSA Omnibus Survey #2024-037, module 1",financially-speaking-do-you-feel-you-are,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,4
2024-037_q18,How concerned are you by this?,"Verasight MPSA Omnibus Survey #2024-037, module 1",how-concerned-are-you-by-this,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,4
2024-037_q19,"If Congress doesn’t take any action, which of these two programs is expected to be the first to not have enough money to cover all benefits—Medicare or Social Security?","Verasight MPSA Omnibus Survey #2024-037, module 1",if-congress-doesn-t-take-any-action-which-of-these-two-programs-is-expected-to-be-the-first-to-not-have-enough-money-to-cover-all-benefits-medicare-or-social-security,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,3
2024-037_q2,How do you feel about policies that prohibit parents from providing gender-affirming care to their transgender child?,"Verasight MPSA Omnibus Survey #2024-037, module 1",how-do-you-feel-about-policies-that-prohibit-parents-from-providing-gender-affirming-care-to-their-transgender-child,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,4
2024-037_q21,Which of the following do you think best describes misinformation in U.S. politics in the last ten years?,"Verasight MPSA Omnibus Survey #2024-037, module 1",which-of-the-following-do-you-think-best-describes-misinformation-in-u-s-politics-in-the-last-ten-years,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,4
2024-037_q23,Are you in favor of the Supreme Court’s ruling to remove race and gender as considerations in college admission?,"Verasight MPSA Omnibus Survey #2024-037, module 1",are-you-in-favor-of-the-supreme-court-s-ruling-to-remove-race-and-gender-as-considerations-in-college-admission,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,3
2024-037_q24,"With regards to the claim that widespread voter fraud is a problem, would you say you…","Verasight MPSA Omnibus Survey #2024-037, module 1",with-regards-to-the-claim-that-widespread-voter-fraud-is-a-problem-would-you-say-you,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,5
2024-037_q26,What is your primary source of political information?,"Verasight MPSA Omnibus Survey #2024-037, module 1",what-is-your-primary-source-of-political-information,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,8
2024-037_q27,"Considering your employment status, how much are you worried about facing unexpected job loss in the current economic climate?","Verasight MPSA Omnibus Survey #2024-037, module 1",considering-your-employment-status-how-much-are-you-worried-about-facing-unexpected-job-loss-in-the-current-economic-climate,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,6
2024-037_q28,Where does the rubber used to manufacture your car tires and other rubber products primarily come from?,"Verasight MPSA Omnibus Survey #2024-037, module 1",where-does-the-rubber-used-to-manufacture-your-car-tires-and-other-rubber-products-primarily-come-from,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,4
2024-037_q29_q30_1,"On a scale of 1 to 5, where 1 represents “Strongly Disagree” and 5 represents “Strongly Agree,” please indicate your level of agreement with the following statements: - The US Federal Government should adopt a law that would allow individuals to officially be charged as domestic terrorists.","Verasight MPSA Omnibus Survey #2024-037, module 1",on-a-scale-of-1-to-5-where-1-represents-strongly-disagree-and-5-represents-strongly-agree-please-indicate-your-level-of-agreement-with-the-following-statements-the-us-federal,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,5
2024-037_q29_q30_2,"On a scale of 1 to 5, where 1 represents “Strongly Disagree” and 5 represents “Strongly Agree,” please indicate your level of agreement with the following statements: - If found guilty of domestic terrorism, an individual should receive the same punishment as an individual found guilty of international terrorism.","Verasight MPSA Omnibus Survey #2024-037, module 1",on-a-scale-of-1-to-5-where-1-represents-strongly-disagree-and-5-represents-strongly-agree-please-indicate-your-level-of-agreement-with-the-following-statements-if-found-guilty-of,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,5
2024-037_q3,Please indicate your level of agreement with this statement: I would rather live in a country where the majority of people are non-White Christians than a country where the majority of people are White atheists,"Verasight MPSA Omnibus Survey #2024-037, module 1",please-indicate-your-level-of-agreement-with-this-statement-i-would-rather-live-in-a-country-where-the-majority-of-people-are-non-white-christians-than-a-country-where-the,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,5
2024-037_q31_q34_q81_q22_1,"On a scale of 1 to 5, where 1 represents ""Very Unlikely"" and 5 represents ""Very Likely,"" please indicate how likely it is for the following groups to be domestic terrorists: - Women","Verasight MPSA Omnibus Survey #2024-037, module 1",on-a-scale-of-1-to-5-where-1-represents-very-unlikely-and-5-represents-very-likely-please-indicate-how-likely-it-is-for-the-following-groups-to-be-domestic-terrorists-women,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,5
2024-037_q31_q34_q81_q22_2,"On a scale of 1 to 5, where 1 represents ""Very Unlikely"" and 5 represents ""Very Likely,"" please indicate how likely it is for the following groups to be domestic terrorists: - Christians","Verasight MPSA Omnibus Survey #2024-037, module 1",on-a-scale-of-1-to-5-where-1-represents-very-unlikely-and-5-represents-very-likely-please-indicate-how-likely-it-is-for-the-following-groups-to-be-domestic-terrorists-christians,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,5
2024-037_q31_q34_q81_q22_3,"On a scale of 1 to 5, where 1 represents ""Very Unlikely"" and 5 represents ""Very Likely,"" please indicate how likely it is for the following groups to be domestic terrorists: - White people","Verasight MPSA Omnibus Survey #2024-037, module 1",on-a-scale-of-1-to-5-where-1-represents-very-unlikely-and-5-represents-very-likely-please-indicate-how-likely-it-is-for-the-following-groups-to-be-domestic-terrorists-white-people,https://verasight-mpsa-2024.tiiny.co,1000,1000.0000000000022,+/- 3.5%,false,5
